id,date,latitude,longitude,photo_1,photo_2,photo_3,photo_4,photo_5
VB001,12-07-2026,38.56269957966968,-8.87521672994725,https://www.dropbox.com/scl/fi/a8lb1vdggy0q2uldpyhr3/image.jpg?rlkey=s99kk6rfw91dnfchxs4x5if85&st=z0347tuc&raw=1,https://www.dropbox.com/scl/fi/aou1lpv8wr40t3of0blpm/image_7895.jpg?rlkey=fglk5ux7vbnyk1nixz4v9yy2v&st=mtuwib9p&raw=1,https://www.dropbox.com/scl/fi/2bf1ce5lyxj6n2qgn1q7e/image_4574.jpg?rlkey=pbx3ygkyj9xfp4byqaq5hp0a2&st=5h1ts6ix&raw=1,,
VB002,12-07-2026,38.56733510739968,-8.875168534004013,https://www.dropbox.com/scl/fi/5zcjlxwcoo6thevae69cc/IMG_3877.jpeg?rlkey=93jcqmhauvf8641imauzgimik&st=jgn07j2t&raw=1,https://www.dropbox.com/scl/fi/ltui07ud7vqdiqo591gsr/IMG_3876.jpeg?rlkey=2udj9krjslom498i7z8zlrbla&st=lj5hwgo1&raw=1,https://www.dropbox.com/scl/fi/7lc50tv9980qcvh5538hx/IMG_3875.jpeg?rlkey=ilunhwg7249318iru6hz3s9ql&st=0g0h2e3a&raw=1,,
VB003,18-07-2026,38.56436821764578,-8.877762647593704,https://www.dropbox.com/scl/fi/qmhnnesbjvcg3b55i8bbf/IMG_3893.jpeg?rlkey=xk54hhz79d4om8zv70fsixhdx&st=mhzhr8ft&raw=1,https://www.dropbox.com/scl/fi/62vck904d57vskg5notdu/IMG_3894.jpeg?rlkey=zmyfshexrw3tijdk43tl4h1gk&st=wlrwxjsc&raw=1,https://www.dropbox.com/scl/fi/o50bb9lhskac6noc1znbu/IMG_3892.jpeg?rlkey=m4e9ov17amf62jytvq5dan2sg&st=x1awso68&raw=1,,
VB004,18-07-2026,38.56436821764578,-8.877762647593704,https://www.dropbox.com/scl/fi/0y4p3ezgu083t0555vj0l/IMG_3898.jpeg?rlkey=6lguinmqx3v5wxdny4yzncz14&st=yz39br0x&raw=1,https://www.dropbox.com/scl/fi/hyxj9nqvqhm6etytxu4mr/IMG_3899.jpeg?rlkey=cenov0makkiqhsad5g5nev8ld&st=nop0u8zn&raw=1,https://www.dropbox.com/scl/fi/61qk0djqfvkqzghin74zg/IMG_3896.jpeg?rlkey=us3tj96bl135xo3sx420ip72y&st=iw7x7td2&raw=1,https://www.dropbox.com/scl/fi/dyxeq69n63whwqh6221pr/IMG_3897.jpeg?rlkey=lzmzjyybah8qj13l4ritk92i8&st=1cpueqln&raw=1,https://www.dropbox.com/scl/fi/8d03th0fuhqxwg8rzxl9c/IMG_3895.jpeg?rlkey=2bg7gryu4vov8ptb6fsg0pyj7&st=pydx2t7h&raw=1
VB005,18-07-2026,38.56436821764578,-8.877762647593704,https://www.dropbox.com/scl/fi/9qpz231oidxdvcic1s910/IMG_3903.jpeg?rlkey=dp3rwkrwjqh95ca3lajyi6w0m&st=ngw0xsg8&raw=1,https://www.dropbox.com/scl/fi/y6yzc749j93k4d0es9e22/image-1.jpg?rlkey=s6fmpk4u99d6rp8mgcthp6k6x&st=04c1323k&raw=1,https://www.dropbox.com/scl/fi/2qc47nmhryo2v2iuxjqkr/IMG_3902.jpeg?rlkey=xghr0n8owlufae9axiqh1wdbu&st=13osfnxj&raw=1,https://www.dropbox.com/scl/fi/in2bik1x0fnw63rmh4k1d/IMG_3901.jpeg?rlkey=w4uobgoah1gya7am9mo5h9rlq&st=nqwyzvgj&raw=1,
VB006,18-07-2026,38.56436821764578,-8.877762647593704,https://www.dropbox.com/scl/fi/a2xv2v01mhhlanugvpszm/image-2.jpg?rlkey=633dz8ztsdoxnl4njgxuv3mt6&st=tltc3da6&raw=1,,,,
VB007,18-07-2026,38.5662481766729,-8.872544959216482,https://www.dropbox.com/scl/fi/3i30tvvwm76acveot1tih/image-3.jpg?rlkey=8mdga6c8zrabnc4edrpxdgaue&st=7yqgykp1&raw=1,,,,
VB008,19-07-2026,38.56175569240257,-8.871115704288261,https://www.dropbox.com/scl/fi/rnhlgkjwcs44pmcv65euc/IMG_3909.jpeg?rlkey=encratviwg54u944efyfhb947&st=0loi4i81&raw=1,https://www.dropbox.com/scl/fi/lbnydakny4fy3k6tqal9h/IMG_3908.jpeg?rlkey=9ys9bjv05k0i14zxl1jgldtf7&st=1q153e6x&raw=1,https://www.dropbox.com/scl/fi/n38ag7s2hxcbmzvi5dhse/IMG_3910.jpeg?rlkey=fy8azt2ebq9vaxl7hog3ozaen&st=t8j9vtgl&raw=1,,
VB009,21-07-2026,38.5662481766729,-8.872544959216482,https://www.dropbox.com/scl/fi/jj6rnnr7na7sbdmu7th5y/image-4.jpg?rlkey=tcpylux82g134ox17xefe2yhc&st=rygpetvx&raw=1,,,,
VB010,21-07-2026,38.57060664734581,-8.854474502988547,https://www.dropbox.com/scl/fi/qzqd8aoq5eefp30gsn08d/image-5.jpg?rlkey=qkoocmvh8n3z62eunbvsd4009&st=iiukzzcc&raw=1,,,,
